Time	RB	Sinr
0.62 	2 	19.7415
0.62 	3 	15.0325
0.62 	4 	17.4949
0.62 	5 	11.4442
0.62 	0 	17.6833
0.621 	0 	17.8259
0.621 	1 	6.27817
0.621 	2 	19.7539
0.621 	3 	14.8041
0.621 	4 	17.5646
0.621 	5 	10.4833
0.622 	0 	17.9585
0.622 	1 	4.49768
0.622 	2 	19.7633
0.622 	3 	14.5569
0.622 	4 	17.6298
0.622 	5 	9.23902
0.623 	0 	18.0815
0.623 	1 	1.45064
0.623 	2 	19.7698
0.623 	3 	14.2885
0.623 	4 	17.6907
0.623 	5 	7.47762
0.624 	0 	18.1958
0.624 	1 	-18.3309
0.624 	2 	19.7733
0.624 	3 	13.9958
0.624 	4 	17.7474
0.624 	5 	4.44835
0.625 	0 	18.3016
0.625 	2 	19.7739
0.625 	3 	13.675
0.625 	4 	17.8
0.625 	5 	-14.8159
0.626 	0 	18.3995
0.626 	1 	4.47572
0.626 	2 	19.7715
0.626 	3 	13.3215
0.626 	4 	17.8486
0.627 	0 	18.4897
0.627 	1 	6.20736
0.627 	2 	19.7662
0.627 	3 	12.9291
0.627 	4 	17.8932
0.627 	5 	7.54679
0.628 	0 	18.5728
0.628 	1 	7.42926
0.628 	2 	19.758
0.628 	3 	12.4896
0.628 	4 	17.9339
0.628 	5 	9.30047
0.629 	0 	18.6489
0.629 	1 	8.37036
0.629 	2 	19.7468
0.629 	3 	11.992
0.629 	4 	17.9708
0.629 	5 	10.5454
0.63 	0 	18.7183
0.63 	1 	9.13291
0.63 	2 	19.7327
0.63 	3 	11.4205
0.63 	4 	18.004
0.63 	5 	11.5104
0.631 	0 	18.7812
0.631 	1 	9.77151
0.631 	2 	19.7156
0.631 	3 	10.752
0.631 	4 	18.0335
0.631 	5 	12.2976
0.632 	0 	18.8379
0.632 	1 	10.3188
0.632 	2 	19.6955
0.632 	3 	9.94961
0.632 	4 	18.0594
0.632 	5 	12.9616
0.633 	0 	18.8886
0.633 	1 	10.7957
0.633 	2 	19.6725
0.633 	3 	8.9507
0.633 	4 	18.0816
0.633 	5 	13.5349
0.634 	0 	18.9333
0.634 	1 	11.2167
0.634 	2 	19.6464
0.634 	3 	7.63356
0.634 	4 	18.1003
0.634 	5 	14.0386
0.635 	0 	18.9723
0.635 	1 	11.592
0.635 	2 	19.6173
0.635 	3 	5.70836
0.635 	4 	18.1154
0.635 	5 	14.4871
0.636 	0 	19.0057
0.636 	1 	11.9292
0.636 	2 	19.5851
0.636 	3 	2.11065
0.636 	4 	18.1271
0.636 	5 	14.8906
0.637 	0 	19.0335
0.637 	1 	12.234
0.637 	2 	19.5498
0.637 	3 	-3.10385
0.637 	4 	18.1353
0.637 	5 	15.2568
0.638 	0 	19.0559
0.638 	1 	12.5108
0.638 	2 	19.5114
0.638 	4 	18.14
0.638 	5 	15.5914
0.639 	0 	19.073
0.639 	1 	12.7632
0.639 	2 	19.4698
0.639 	3 	6.78312
0.639 	4 	18.1413
0.639 	5 	15.8988
0.64 	0 	19.0847
0.64 	1 	12.994
0.64 	2 	19.4249
0.64 	3 	8.40563
0.64 	4 	18.1392
0.64 	5 	16.1827
0.641 	0 	19.0912
0.641 	1 	13.2055
0.641 	2 	19.3768
0.641 	3 	9.5894
0.641 	4 	18.1336
0.641 	5 	16.4457
0.642 	0 	19.0925
0.642 	1 	13.3995
0.642 	2 	19.3254
0.642 	3 	10.5222
0.642 	4 	18.1247
0.642 	5 	16.6904
0.643 	5 	16.9185
0.643 	3 	11.2919
0.643 	4 	18.1123
0.643 	0 	19.0886
0.643 	1 	13.5778
0.643 	2 	19.2706
0.644 	0 	19.0796
0.644 	1 	13.7415
0.644 	2 	19.2123
0.644 	3 	11.947
0.644 	4 	18.0965
0.644 	5 	17.1318
0.645 	5 	17.3316
0.645 	0 	19.0653
0.645 	1 	13.8919
0.645 	2 	19.1505
0.645 	3 	12.5169
0.645 	4 	18.0773
0.646 	0 	19.0459
0.646 	1 	14.0298
0.646 	2 	19.0851
0.646 	3 	13.0209
0.646 	4 	18.0546
0.646 	5 	17.519
0.647 	0 	19.0212
0.647 	1 	14.1562
0.647 	2 	19.016
0.647 	3 	13.4722
0.647 	4 	18.0285
0.647 	5 	17.6951
0.648 	0 	18.9913
0.648 	1 	14.2716
0.648 	2 	18.9431
0.648 	3 	13.8806
0.648 	4 	17.9989
0.648 	5 	17.8607
0.649 	0 	18.9561
0.649 	2 	18.8663
0.649 	3 	14.253
0.649 	4 	17.9658
0.649 	5 	18.0165
0.649 	1 	14.3768
0.65 	0 	18.9155
0.65 	1 	14.4722
0.65 	2 	18.7855
0.65 	3 	14.5949
0.65 	4 	17.9292
0.65 	5 	18.1633
0.651 	0 	18.8694
0.651 	1 	14.5583
0.651 	2 	18.7006
0.651 	3 	14.9106
0.651 	4 	17.889
0.651 	5 	18.3016
0.652 	0 	18.8178
0.652 	1 	14.6355
0.652 	2 	18.6115
0.652 	3 	15.2035
0.652 	4 	17.8453
0.652 	5 	18.4318
0.653 	0 	18.7605
0.653 	1 	14.7041
0.653 	2 	18.518
0.653 	3 	15.4762
0.653 	4 	17.7979
0.653 	5 	18.5545
0.654 	0 	18.6975
0.654 	1 	14.7644
0.654 	2 	18.4199
0.654 	3 	15.731
0.654 	4 	17.7468
0.654 	5 	18.6701
0.655 	0 	18.6285
0.655 	1 	14.8166
0.655 	2 	18.3171
0.655 	3 	15.9697
0.655 	4 	17.692
0.655 	5 	18.7789
0.656 	0 	18.5534
0.656 	1 	14.8609
0.656 	2 	18.2094
0.656 	3 	16.194
0.656 	4 	17.6333
0.656 	5 	18.8812
0.657 	0 	18.472
0.657 	1 	14.8976
0.657 	2 	18.0966
0.657 	3 	16.4051
0.657 	4 	17.5709
0.657 	5 	18.9773
0.658 	0 	18.3841
0.658 	1 	14.9266
0.658 	2 	17.9785
0.658 	3 	16.6042
0.658 	4 	17.5044
0.658 	5 	19.0675
0.659 	0 	18.2895
0.659 	1 	14.9483
0.659 	2 	17.8547
0.659 	3 	16.7922
0.659 	4 	17.434
0.659 	5 	19.152
0.66 	1 	14.9625
0.66 	2 	17.7252
0.66 	3 	16.9699
0.66 	4 	17.3595
0.66 	5 	19.2311
0.66 	0 	18.1878
0.661 	0 	18.0788
0.661 	1 	14.9693
0.661 	2 	17.5894
0.661 	3 	17.1382
0.661 	4 	17.2808
0.661 	5 	19.3048
0.662 	0 	17.9621
0.662 	1 	14.9688
0.662 	2 	17.4472
0.662 	3 	17.2976
0.662 	4 	17.1978
0.662 	5 	19.3733
0.663 	0 	17.8374
0.663 	1 	14.961
0.663 	2 	17.2981
0.663 	3 	17.4487
0.663 	4 	17.1105
0.663 	5 	19.4369
0.664 	0 	17.7042
0.664 	1 	14.9458
0.664 	2 	17.1417
0.664 	3 	17.592
0.664 	4 	17.0186
0.664 	5 	19.4956
0.665 	0 	17.562
0.665 	1 	14.9231
0.665 	2 	16.9776
0.665 	3 	17.7279
0.665 	4 	16.9221
0.665 	5 	19.5496
0.666 	0 	17.4102
0.666 	1 	14.8928
0.666 	2 	16.8052
0.666 	3 	17.8569
0.666 	4 	16.8208
0.666 	5 	19.599
0.667 	0 	17.2481
0.667 	1 	14.8547
0.667 	2 	16.6239
0.667 	3 	17.9792
0.667 	4 	16.7145
0.667 	5 	19.6438
0.668 	0 	17.0751
0.668 	1 	14.8088
0.668 	2 	16.4331
0.668 	3 	18.0953
0.668 	4 	16.6032
0.668 	5 	19.6842
0.669 	0 	16.8903
0.669 	1 	14.7549
0.669 	2 	16.232
0.669 	3 	18.2053
0.669 	4 	16.4865
0.669 	5 	19.7202
0.67 	0 	16.6926
0.67 	1 	14.6925
0.67 	2 	16.0196
0.67 	3 	18.3096
0.67 	4 	16.3644
0.67 	5 	19.7519
0.671 	0 	16.481
0.671 	1 	14.6216
0.671 	2 	15.795
0.671 	3 	18.4083
0.671 	4 	16.2366
0.671 	5 	19.7794
0.672 	0 	16.254
0.672 	1 	14.5416
0.672 	2 	15.557
0.672 	3 	18.5017
0.672 	4 	16.1028
0.672 	5 	19.8026
0.673 	0 	16.01
0.673 	1 	14.4523
0.673 	2 	15.3042
0.673 	3 	18.59
0.673 	4 	15.9628
0.673 	5 	19.8217
0.674 	0 	15.7471
0.674 	1 	14.3532
0.674 	2 	15.0349
0.674 	3 	18.6733
0.674 	4 	15.8163
0.674 	5 	19.8367
0.675 	0 	15.4629
0.675 	1 	14.2437
0.675 	2 	14.7471
0.675 	3 	18.7518
0.675 	4 	15.663
0.675 	5 	19.8475
0.676 	0 	15.1545
0.676 	1 	14.1232
0.676 	2 	14.4384
0.676 	3 	18.8255
0.676 	4 	15.5024
0.676 	5 	19.8543
0.677 	0 	14.8185
0.677 	1 	13.991
0.677 	2 	14.1059
0.677 	3 	18.8948
0.677 	4 	15.3343
0.677 	5 	19.8569
0.678 	0 	14.4501
0.678 	1 	13.8462
0.678 	2 	13.746
0.678 	3 	18.9596
0.678 	4 	15.1582
0.678 	5 	19.8555
0.679 	0 	14.0438
0.679 	1 	13.6879
0.679 	2 	13.354
0.679 	3 	19.02
0.679 	4 	14.9735
0.679 	5 	19.85
0.68 	2 	12.9239
0.68 	3 	19.0763
0.68 	0 	13.5917
0.68 	1 	13.5149
0.68 	4 	14.7797
0.68 	5 	19.8403
0.681 	0 	13.0835
0.681 	1 	13.3258
0.681 	2 	12.4479
